scene,time,headsetLocationX,headsetLocationY,headsetLocationZ
6,0.3960514,-1.022432,1.194694,-0.06271434
6,0.4075795,-1.022533,1.194708,-0.06280267
6,0.4190459,-1.022623,1.194705,-0.06279999
6,0.4302454,-1.02269,1.194659,-0.06275439
6,0.441021,-1.022769,1.194705,-0.0627532
6,0.4520101,-1.022848,1.194677,-0.06275356
6,0.46371,-1.022867,1.194709,-0.06274891
6,0.4745938,-1.022917,1.194715,-0.06274307
6,0.4855789,-1.02294,1.194718,-0.0627417
6,0.4968291,-1.022981,1.194696,-0.0627045
6,0.5087833,-1.023014,1.194746,-0.06275827
6,0.519155,-1.023044,1.194772,-0.06276304
6,0.5302418,-1.02305,1.194754,-0.06271607
6,0.5417159,-1.023068,1.194807,-0.06276858
6,0.5523534,-1.023045,1.194809,-0.06278694
6,0.5637462,-1.022928,1.194812,-0.06280667
6,0.5746675,-1.022894,1.1949,-0.06276155
6,0.5865786,-1.022853,1.194914,-0.06276101
6,0.5977832,-1.022852,1.194881,-0.06270885
6,0.6085302,-1.022827,1.194932,-0.06273675
6,0.6200281,-1.022776,1.19492,-0.06275284
6,0.6311055,-1.022742,1.194882,-0.06271482
6,0.6414846,-1.022701,1.194892,-0.06274658
6,0.6528044,-1.022662,1.194857,-0.06273836
6,0.6639629,-1.022625,1.19479,-0.0627073
6,0.6751751,-1.022588,1.194742,-0.06270278
6,0.6862783,-1.022556,1.194711,-0.06273681
6,0.6975411,-1.022561,1.194679,-0.06284916
6,0.7085261,-1.022517,1.194693,-0.06290156
6,0.7198327,-1.022506,1.194702,-0.06295699
6,0.7309082,-1.022445,1.194735,-0.06290978
6,0.7423671,-1.022382,1.194743,-0.06293648
6,0.7531086,-1.022348,1.194728,-0.06294632
6,0.7646928,-1.022337,1.194683,-0.06290054
6,0.7765549,-1.022329,1.19464,-0.06290144
6,0.7894773,-1.022312,1.194635,-0.06289619
6,0.802296,-1.022275,1.194598,-0.06286448
6,0.813588,-1.022304,1.194659,-0.06292361
6,0.8262525,-1.022273,1.194691,-0.06295019
6,0.8374281,-1.022331,1.194767,-0.06293118
6,0.8490577,-1.022368,1.194791,-0.06291491
6,0.8602889,-1.022485,1.194712,-0.06278503
6,0.8716944,-1.022572,1.194763,-0.06275558
6,0.8829563,-1.022656,1.194784,-0.06275207
6,0.8947002,-1.022757,1.194753,-0.06270862
6,0.9053821,-1.022845,1.194829,-0.06276846
6,0.9166254,-1.022934,1.194906,-0.06278783
6,0.9283226,-1.023069,1.194923,-0.06271249
